idParametro,modulo,tipo,valor,codigo,descripcion,fechaCreacion,usuarioCreacion,fechaModificacion,valorAsociado
67,PROVEEDOR,GRUPO_TESORERIA,OTROS INGRESOS TECPETROL,OT_ING_TEC,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Pago retenciones,PAGO_RETEN,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Pago áreas,PAGO_ÁREAS,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,PETROBRAS,PETROBRAS,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Plantas-tanques-horno-cab.pozo,PLA_TAN_HO,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Proveedores de Venezuela,PROV_CONC,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Puentes de medición actuadores,PU_MED_ACT,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Químicos,QUIMICOS,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,REFINOR,REFINOR,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Regalias,REGALIAS,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,SIDERAR,SIDERAR,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,SIDERCA,SIDERCA,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Serv. pozos-perforac-perfilaje,SPOPER_PER,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Servicios Geofísica-Geología,SVGEOLGEOF,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Serv. de lodo-serv. en pozo,SVLOD_POZO,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Mantenimiento y cosas en gral.,SVMAN_GRAL,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Svs. no operativos,SVS_NO_OP,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Servicios petroleros varios,SVS_PET_VS,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Servicios Geofí-Geol Exterior,SV_GEO_EXT,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Svs. y materiales elect.varios,SV_MAT_ELE,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Svs. W.O.perforación-Pulling,SWOPER_PUL,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Transporte de personal,TRANS_PERS,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Trépanos-bombas-válv-varrillas,TRBO_VA_CA,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,TRIPETROL,TRIPETROL,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Trans.mat-carg.líq-descar.mate,TRMA_CALIQ,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,VENEZUELA,VENEZUELA,,31/07/2019 12:00:00.0 AM,1,,
67,PROVEEDOR,GRUPO_TESORERIA,Y.P.F. S.A.,YPF_SA,,31/07/2019 12:00:00.0 AM,1,,
